DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam366,2,2,2,1,1,1,1,1,2,3
fam367,1,0,1,1,1,1,1,1,1,2
fam368,1,1,2,2,1,0,1,0,3,3
fam369,2,2,2,1,1,1,1,1,1,1
fam370,2,2,2,1,2,2,1,1,2,1
fam371,2,2,2,2,1,1,1,1,1,1
fam372,2,2,2,2,1,1,1,1,1,1
fam373,1,1,2,1,1,1,1,2,2,2
fam374,2,2,2,2,1,1,1,1,2,1
fam375,2,1,2,0,0,0,1,0,4,2
fam376,1,1,1,2,1,1,2,1,1,1
fam377,2,3,2,2,1,0,1,1,1,1
fam378,2,2,2,1,1,1,1,1,2,1
fam379,1,1,4,1,1,1,1,1,1,1
fam380,1,2,3,1,2,2,2,2,2,1
fam381,2,2,2,2,1,1,1,0,2,1
fam382,2,1,0,0,0,0,1,1,4,6
fam383,2,2,1,1,0,1,1,1,1,2
fam384,2,2,0,2,1,1,1,1,1,1
fam385,1,1,1,1,1,1,1,1,2,2
fam387,2,2,2,1,1,1,1,1,1,1
fam388,2,2,2,2,0,1,1,1,2,1
fam389,1,1,1,1,1,1,1,1,1,2
fam390,1,1,1,1,1,1,1,1,1,2
fam391,2,2,2,1,1,1,1,1,1,2
fam392,1,1,2,1,1,1,1,1,1,2
fam393,2,1,2,1,1,1,1,2,1,2
fam394,2,3,3,1,2,0,0,0,1,2
fam395,2,2,2,1,1,1,1,1,1,1
fam396,1,1,1,1,1,1,1,1,2,2
fam397,1,1,1,2,1,1,1,1,1,1
fam398,1,0,1,0,0,0,0,0,2,3
fam399,1,1,1,2,1,1,1,1,1,1
fam400,0,5,0,1,0,1,1,1,3,0
fam401,1,1,1,2,2,2,2,1,1,1
fam402,2,1,2,1,1,1,1,1,1,0
fam403,1,1,1,2,1,1,1,1,2,2
fam404,1,1,1,1,1,2,2,1,2,2
fam405,2,2,2,2,1,1,1,1,1,1
fam406,1,1,1,1,1,1,1,1,2,3
fam407,3,3,3,1,1,1,1,1,1,2
fam408,1,2,2,1,1,1,1,1,1,1
fam409,1,2,1,0,0,1,3,1,3,2
fam410,1,1,1,1,1,1,1,1,1,1
fam411,1,1,1,1,1,1,2,1,1,1
fam412,2,2,2,1,1,1,1,1,1,1
fam413,0,1,1,1,1,1,1,1,2,2
fam414,2,2,2,2,1,1,1,1,1,1
fam415,1,1,1,1,1,1,1,1,2,2
fam416,1,1,1,1,1,1,1,1,2,2
fam417,2,2,2,2,1,2,1,1,1,1
fam418,1,1,1,2,1,1,1,1,1,1
fam419,1,1,1,1,1,1,1,1,1,2
fam420,1,1,1,1,1,1,1,1,2,6
fam421,1,1,2,2,1,1,1,1,2,2
fam422,2,2,2,2,1,1,1,1,1,1
fam423,2,2,2,2,1,1,1,1,1,1
fam424,1,2,1,1,0,0,0,5,1,10
fam426,1,1,1,1,1,1,1,1,1,3
fam427,1,1,0,1,1,1,1,1,1,1
fam428,1,1,1,1,1,1,1,1,1,2
fam429,2,2,2,1,1,1,1,1,1,1
fam430,1,1,1,1,1,1,1,1,1,1
fam431,1,1,1,1,5,1,3,2,1,1
fam432,2,2,2,1,1,1,1,1,1,1
fam433,1,2,1,2,2,2,1,1,1,1
fam434,1,1,3,1,1,1,1,1,1,1
fam435,2,2,1,1,1,2,1,2,2,2
fam436,1,1,3,1,1,0,0,1,2,0
fam437,0,0,0,0,1,1,0,0,0,0
fam438,2,2,2,1,1,1,1,1,1,1
fam439,1,1,1,1,1,1,1,1,2,2
fam440,2,2,2,1,1,1,1,1,1,1
fam441,1,1,1,2,1,1,1,1,1,2
fam442,2,2,2,1,1,1,1,1,1,1
fam443,1,1,1,1,1,1,1,1,2,2
fam444,1,1,1,0,1,1,1,1,1,1
fam445,1,1,1,1,2,2,2,2,1,2
fam446,1,1,0,2,1,1,1,1,1,1
fam447,1,1,1,1,1,1,1,1,2,2
fam448,2,2,2,1,1,2,1,0,1,1
fam449,0,1,1,1,0,0,0,0,4,3
fam450,2,2,2,1,1,1,1,1,1,2
fam451,1,2,1,1,1,1,1,1,1,1
fam452,2,2,2,1,1,1,1,1,1,1
fam453,1,2,1,2,1,1,1,0,1,1
fam454,1,1,1,1,1,1,1,1,1,1
fam455,2,2,2,1,1,1,1,1,1,1
fam456,3,1,2,1,0,0,0,0,0,0
fam458,1,1,1,1,1,1,1,1,1,1
fam459,1,1,1,1,1,1,1,1,1,1
fam460,2,2,2,1,1,1,1,1,2,2
fam461,2,1,1,1,1,2,2,2,2,1
fam462,1,1,1,1,1,1,1,1,1,1
fam463,1,2,1,1,1,1,1,1,1,1
fam464,1,1,1,1,1,1,2,1,2,1
fam465,1,1,1,2,1,1,1,1,1,1
fam466,1,1,1,1,2,2,2,2,1,1
fam467,2,2,2,2,0,1,1,0,1,1
fam468,1,2,1,1,1,1,1,1,1,1
fam469,2,2,2,2,1,1,0,0,2,2
fam470,1,1,1,1,1,1,1,1,2,1
fam471,1,1,1,1,1,1,1,1,1,1
fam472,1,1,0,1,1,2,1,1,1,1
fam473,2,2,2,2,1,0,1,0,0,1
fam474,1,1,1,1,0,0,0,0,3,1
fam475,1,1,1,1,1,1,1,1,1,1
fam476,1,1,1,1,2,1,1,2,2,4
fam477,1,1,1,1,1,1,1,1,2,1
fam478,1,2,1,1,1,1,1,1,1,2
fam479,1,1,1,1,1,1,1,1,2,1
fam480,1,1,1,1,1,1,1,1,1,1
fam481,1,1,1,1,1,1,1,1,3,1
fam482,0,3,3,0,0,1,0,0,2,0
fam483,2,2,2,1,1,1,1,1,1,1
fam484,1,1,1,1,1,1,1,1,1,1
fam485,1,1,2,2,1,1,1,1,1,1
fam486,2,2,2,1,1,1,1,1,1,1
fam487,2,2,2,1,1,1,1,1,1,1
fam488,1,2,2,1,1,1,1,1,1,1
fam489,1,1,1,1,2,1,2,1,0,1
fam490,1,4,1,1,0,2,1,0,2,2
fam491,1,1,1,2,1,1,1,1,1,1
fam492,1,1,1,1,1,1,1,1,1,1
